country,iso3,iso_num,year,ev_stock
Australia,AUS,36,2015,2100
Australia,AUS,36,2016,2800
Australia,AUS,36,2017,3900
Australia,AUS,36,2018,5700
Australia,AUS,36,2019,12000
Australia,AUS,36,2020,17000
Australia,AUS,36,2021,34000
Australia,AUS,36,2022,67000
Australia,AUS,36,2023,150000
Australia,AUS,36,2024,250000
Austria,AUT,40,2015,5000
Austria,AUT,40,2016,9100
Austria,AUT,40,2017,15000
Austria,AUT,40,2018,21000
Austria,AUT,40,2019,30000
Austria,AUT,40,2020,45000
Austria,AUT,40,2021,77000
Austria,AUT,40,2022,110000
Austria,AUT,40,2023,160000
Austria,AUT,40,2024,200000
Belgium,BEL,56,2015,3800
Belgium,BEL,56,2016,11000
Belgium,BEL,56,2017,23000
Belgium,BEL,56,2018,33000
Belgium,BEL,56,2019,41000
Belgium,BEL,56,2020,73000
Belgium,BEL,56,2021,120000
Belgium,BEL,56,2022,180000
Belgium,BEL,56,2023,280000
Belgium,BEL,56,2024,350000
Brazil,BRA,76,2015,120
Brazil,BRA,76,2016,250
Brazil,BRA,76,2017,360
Brazil,BRA,76,2018,700
Brazil,BRA,76,2019,2100
Brazil,BRA,76,2020,3800
Brazil,BRA,76,2021,15000
Brazil,BRA,76,2022,26000
Brazil,BRA,76,2023,59000
Brazil,BRA,76,2024,120000
Canada,CAN,124,2015,9900
Canada,CAN,124,2016,15000
Canada,CAN,124,2017,25000
Canada,CAN,124,2018,45000
Canada,CAN,124,2019,76000
Canada,CAN,124,2020,130000
Canada,CAN,124,2021,190000
Canada,CAN,124,2022,280000
Canada,CAN,124,2023,380000
Canada,CAN,124,2024,620000
Chile,CHL,152,2015,37
Chile,CHL,152,2016,54
Chile,CHL,152,2017,170
Chile,CHL,152,2018,280
Chile,CHL,152,2019,440
Chile,CHL,152,2020,550
Chile,CHL,152,2021,820
Chile,CHL,152,2022,1700
Chile,CHL,152,2023,4100
Chile,CHL,152,2024,8600
China,CHN,156,2015,210000
China,CHN,156,2016,460000
China,CHN,156,2017,930000
China,CHN,156,2018,1700000
China,CHN,156,2019,2600000
China,CHN,156,2020,3500000
China,CHN,156,2021,6200000
China,CHN,156,2022,11000000
China,CHN,156,2023,16000000
China,CHN,156,2024,23000000
Colombia,COL,170,2015,120
Colombia,COL,170,2016,140
Colombia,COL,170,2017,240
Colombia,COL,170,2018,490
Colombia,COL,170,2019,1200
Colombia,COL,170,2020,1900
Colombia,COL,170,2021,3000
Colombia,COL,170,2022,5400
Colombia,COL,170,2023,8200
Colombia,COL,170,2024,19000
Costa Rica,CRI,188,2015,12
Costa Rica,CRI,188,2016,97
Costa Rica,CRI,188,2017,120
Costa Rica,CRI,188,2018,260
Costa Rica,CRI,188,2019,610
Costa Rica,CRI,188,2020,1200
Costa Rica,CRI,188,2021,2200
Costa Rica,CRI,188,2022,4800
Costa Rica,CRI,188,2023,11000
Costa Rica,CRI,188,2024,22000
Denmark,DNK,208,2015,7900
Denmark,DNK,208,2016,8700
Denmark,DNK,208,2017,8800
Denmark,DNK,208,2018,10000
Denmark,DNK,208,2019,16000
Denmark,DNK,208,2020,32000
Denmark,DNK,208,2021,78000
Denmark,DNK,208,2022,110000
Denmark,DNK,208,2023,200000
Denmark,DNK,208,2024,340000
Finland,FIN,246,2015,970
Finland,FIN,246,2016,2400
Finland,FIN,246,2017,5700
Finland,FIN,246,2018,13000
Finland,FIN,246,2019,25000
Finland,FIN,246,2020,46000
Finland,FIN,246,2021,77000
Finland,FIN,246,2022,100000
Finland,FIN,246,2023,140000
Finland,FIN,246,2024,150000
France,FRA,250,2015,45000
France,FRA,250,2016,67000
France,FRA,250,2017,93000
France,FRA,250,2018,120000
France,FRA,250,2019,170000
France,FRA,250,2020,280000
France,FRA,250,2021,440000
France,FRA,250,2022,620000
France,FRA,250,2023,980000
France,FRA,250,2024,1100000
Germany,DEU,276,2015,26000
Germany,DEU,276,2016,34000
Germany,DEU,276,2017,54000
